time [s],sleep_position [NA](/api/datatype/270/)
0.0,nan
1.0,5.0
9.0,1.0
21.0,5.0
27.0,1.0
49.0,5.0
138.0,1.0
145.0,5.0
184.0,1.0
207.0,5.0
554.0,4.0
580.0,5.0
1611.0,4.0
1971.0,5.0
6294.0,4.0
6389.0,5.0
8689.0,1.0
8695.0,5.0
8849.0,1.0
8868.0,5.0
8874.0,1.0
8903.0,5.0
9025.0,1.0
9051.0,5.0
9060.0,1.0
9073.0,5.0
9088.0,1.0
9094.0,5.0
9106.0,1.0
9111.0,3.0
9326.0,1.0
10330.0,5.0
10364.0,1.0
10371.0,5.0
10434.0,1.0
11095.0,4.0
11102.0,1.0
12941.0,5.0
12954.0,2.0
12956.0,4.0
12970.0,1.0
13399.0,5.0
13753.0,1.0
13806.0,5.0
13814.0,1.0
13889.0,5.0
14402.0,1.0
14415.0,5.0
14426.0,1.0
14430.0,5.0
14442.0,1.0
14465.0,5.0
15710.0,1.0
15799.0,5.0
15823.0,3.0
15829.0,1.0
17345.0,3.0
17751.0,2.0
18205.0,3.0
19060.0,2.0
20785.0,3.0
22621.0,2.0
24341.0,3.0
24365.0,2.0
24457.0,4.0
24723.0,2.0
24748.0,1.0
24751.0,5.0
24842.0,1.0
25181.0,5.0
25307.0,1.0
25363.0,5.0
25498.0,1.0
25504.0,5.0
25611.0,1.0
25614.0,5.0
25868.0,1.0
25872.0,5.0
26001.0,1.0
26154.0,5.0
26192.0,1.0
26520.0,5.0
26811.0,1.0
26841.0,5.0
26849.0,1.0
26864.0,5.0
26880.0,1.0
26900.0,5.0
26906.0,1.0
26918.0,5.0
26928.0,1.0
26935.0,5.0
26941.0,1.0
26972.0,5.0
26982.0,3.0
27164.0,5.0
27173.0,3.0
27175.0,2.0
27364.0,5.0
27553.0,1.0
27562.0,5.0
27685.0,1.0
27906.0,5.0
27912.0,1.0
27925.0,5.0
27933.0,1.0
27950.0,3.0
28024.0,2.0
28609.0,3.0
28637.0,5.0
28656.625,nan
