time [s],expiration [NA](/api/datatype/35/)
3.3203125,23462
5.6640625,23461
8.2578125,23147
11.8515625,23544
13.765625,23473
16.6953125,23490
19.2421875,23496
22.2578125,23494
24.9453125,23477
27.359375,23486
30.1171875,23486
32.78125,23511
35.6953125,23532
38.25,23527
40.4921875,23520
43.6484375,23440
45.5546875,23377
47.515625,23342
48.8515625,23342
51.6953125,23412
53.4140625,23416
55.2265625,23460
62.6640625,23431
65.7890625,23266
68.765625,23443
71.734375,23335
74.7109375,23320
77.53125,23365
79.6015625,23334
93.234375,23308
95.5546875,23296
97.765625,23337
102.7265625,23189
105.65625,23429
116.6484375,23460
119.4140625,23464
121.4765625,23462
123.9375,23459
126.40625,23451
129.1328125,23489
131.171875,23460
133.40625,23475
135.5078125,23482
137.4921875,23355
139.796875,23336
142.8828125,23479
144.9609375,23335
147.015625,23461
148.9609375,23473
151.3046875,23426
153.796875,23410
158.9765625,23374
161.0859375,23404
163.828125,23389
166.25,23370
168.7421875,23381
171.0,23375
173.1328125,23342
175.1328125,23383
177.53125,23354
180.0078125,23371
182.5234375,23343
184.734375,23360
186.7578125,23351
188.96875,23390
192.296875,23457
194.9296875,23456
197.96875,23461
200.3125,23462
202.78125,23472
205.453125,23475
208.0546875,23487
210.359375,23468
212.9765625,23506
215.625,23458
217.953125,23296
220.5625,23311
223.5703125,23460
226.1953125,23469
228.9609375,23470
232.1796875,23471
235.046875,23470
237.4765625,23476
240.3828125,23478
242.296875,23377
244.4375,23340
246.7578125,23327
248.8359375,23352
250.546875,23448
253.1015625,23486
254.8671875,23468
257.0546875,23495
260.4765625,23497
264.453125,23312
269.0859375,23511
272.1015625,23497
274.7109375,23495
276.890625,23519
280.3984375,23472
282.9609375,23491
285.09375,23480
287.5546875,23491
289.7109375,23486
291.921875,23487
293.890625,23516
295.5625,23472
297.6015625,23485
301.078125,23497
302.8984375,23485
305.1875,23482
307.1640625,23477
309.1171875,23481
311.4609375,23486
313.390625,23492
315.328125,23487
317.3125,23487
319.3515625,23481
321.4765625,23485
323.546875,23508
326.6015625,23500
328.6796875,23513
330.859375,23510
333.0703125,23491
335.3046875,23484
338.1640625,23477
340.3828125,23485
342.4296875,23486
344.1484375,23481
346.40625,23490
349.21875,23495
351.46875,23497
353.875,23495
356.5703125,23498
358.953125,23491
360.96875,23492
363.09375,23503
365.234375,23502
367.859375,23497
370.0390625,23503
372.625,23503
376.3125,23322
381.203125,23510
383.375,23515
386.8125,23507
389.6796875,23504
391.5390625,23502
394.890625,23499
397.1015625,23479
399.296875,23487
401.453125,23482
403.84375,23447
406.203125,23479
408.5,23494
410.3046875,23501
412.390625,23443
414.6171875,23483
416.53125,23485
418.625,23484
420.6484375,23488
422.8203125,23501
424.6796875,23514
426.65625,23505
428.5,23481
431.46875,23506
433.4765625,23503
435.8203125,23504
437.921875,23500
440.0546875,23491
442.25,23485
444.5234375,23486
446.640625,23479
448.40625,23487
450.6484375,23484
453.140625,23523
454.921875,23511
456.703125,23517
458.59375,23522
460.546875,23501
462.28125,23510
464.2265625,23492
466.9453125,23519
468.5078125,23518
470.390625,23475
472.9296875,23472
475.4765625,23455
480.0078125,23394
481.171875,23362
482.578125,23380
484.8203125,23378
487.453125,23377
490.078125,23392
493.421875,23387
495.7890625,23387
498.28125,23402
501.2109375,23247
507.796875,23394
511.9609375,23403
515.6796875,23409
517.8359375,23399
520.0625,23390
523.6953125,23396
526.6875,23457
529.65625,23415
534.78125,23420
537.8828125,23414
540.96875,23402
543.5390625,23409
545.8203125,23425
549.8125,23409
552.078125,23418
