time [s],sleep_position [NA](/api/datatype/270/)
0.0,nan
1.0,1.0
33.0,5.0
72.0,1.0
81.0,5.0
93.0,1.0
99.0,5.0
217.0,1.0
223.0,5.0
519.0,4.0
533.0,5.0
536.0,2.0
559.0,5.0
579.0,2.0
591.0,5.0
671.0,2.0
684.0,5.0
5786.0,1.0
5798.0,5.0
5864.0,1.0
5896.0,5.0
5973.0,1.0
5982.0,5.0
6035.0,1.0
6044.0,5.0
7693.0,2.0
7750.0,5.0
7783.0,2.0
7799.0,5.0
7849.0,2.0
7858.0,5.0
7877.0,2.0
7900.0,5.0
8004.0,2.0
8015.0,5.0
8028.0,2.0
8042.0,5.0
8576.0,1.0
8582.0,5.0
8613.0,2.0
8616.0,5.0
8626.0,2.0
8634.0,5.0
8643.0,2.0
8668.0,5.0
8675.0,2.0
8689.0,5.0
8695.0,2.0
8757.0,5.0
8763.0,2.0
8817.0,5.0
8843.0,2.0
8912.0,5.0
8926.0,2.0
8950.0,5.0
8957.0,2.0
9009.0,5.0
9024.0,2.0
9031.0,5.0
9047.0,2.0
9056.0,5.0
10333.0,2.0
10344.0,5.0
10625.0,2.0
11228.0,5.0
11734.0,2.0
11793.0,5.0
12033.0,2.0
12085.0,5.0
12478.0,2.0
12490.0,5.0
13289.0,2.0
13309.0,5.0
13397.0,2.0
13404.0,5.0
13460.0,2.0
13492.0,5.0
13503.0,2.0
13521.0,5.0
15955.0,2.0
15958.0,5.0
15967.0,2.0
15977.0,5.0
16029.0,2.0
16096.0,5.0
16374.0,2.0
16681.0,5.0
16867.0,2.0
16919.0,5.0
20374.0,2.0
20447.0,5.0
21874.0,4.0
21890.0,5.0
22828.0,2.0
22833.0,5.0
22842.0,2.0
22852.0,5.0
22945.0,1.0
22952.0,5.0
22963.0,2.0
22973.0,5.0
23478.0,4.0
23507.0,5.0
23510.0,1.0
23565.0,5.0
23576.0,1.0
23590.0,5.0
26436.0,2.0
26500.0,5.0
26709.0,2.0
26834.0,5.0
28024.375,nan
