time [s],expiration [NA](/api/datatype/35/)
3.6953125,23388
6.0859375,23397
9.109375,23209
14.5,23348
16.765625,23370
19.671875,23311
23.25,23303
30.5703125,23311
34.8359375,23365
37.953125,23277
40.8515625,23318
43.0859375,23284
45.6796875,23184
53.5703125,23204
55.5703125,23234
61.8359375,23165
64.0390625,23248
71.2109375,23329
75.7890625,23269
78.4765625,23326
80.8828125,23346
84.3125,23164
89.7578125,23299
93.28125,23390
95.03125,23396
99.171875,23396
102.3046875,23332
106.34375,23400
111.9140625,23358
114.359375,23340
118.546875,23341
123.15625,23383
127.578125,23434
129.859375,23410
134.8515625,23216
139.1796875,23395
145.15625,23357
149.8515625,23364
152.296875,23363
157.484375,23428
162.1796875,23364
164.7734375,23369
167.3125,23373
170.7734375,23162
176.2265625,23328
179.078125,23335
182.1328125,23346
188.5,23367
191.78125,23324
194.9453125,23323
198.5,23328
202.140625,23345
204.625,23323
207.1015625,23349
211.3359375,23329
215.6953125,23359
218.453125,23346
221.625,23374
225.875,23306
230.671875,23388
234.15625,23337
236.4765625,23345
239.2109375,23349
247.0078125,23316
250.2890625,23328
254.0625,23337
259.65625,23341
265.3515625,23171
270.6875,23340
277.03125,23361
280.15625,23360
283.34375,23354
286.71875,23357
289.703125,23353
292.5859375,23368
295.390625,23364
298.1640625,23373
300.765625,23370
303.734375,23349
306.984375,23370
310.4453125,23348
313.703125,23362
316.2734375,23373
319.0703125,23380
321.734375,23371
324.5,23383
326.953125,23384
332.359375,23179
336.4921875,23316
348.53125,23400
354.7578125,23216
362.4765625,23397
365.34375,23416
368.4140625,23406
374.6796875,23415
377.78125,23417
380.7890625,23258
383.453125,23404
386.21875,23400
390.4140625,23386
391.75,23386
394.125,23371
399.25,23339
403.734375,23316
408.7578125,23346
411.6328125,23353
414.640625,23341
418.0234375,23339
421.046875,23342
423.59375,23336
426.109375,23321
428.4375,23354
430.6328125,23315
433.328125,23378
434.875,23420
438.9375,23269
441.234375,23118
450.2734375,23306
453.6484375,23095
463.4921875,23327
469.0390625,23342
475.5,23093
487.84375,23079
491.3671875,23076
496.265625,23080
502.6953125,23082
515.3046875,23085
531.6953125,23259
543.8984375,23116
569.75,23299
599.5390625,23282
630.0703125,23367
635.015625,23388
649.1015625,23268
657.578125,23264
666.1796875,23219
677.484375,23091
691.6484375,23266
698.296875,23225
703.90625,23196
734.375,23342
742.109375,23302
752.6328125,23210
762.2265625,23406
769.40625,23396
776.8359375,23222
782.203125,23221
785.734375,23120
795.2890625,23325
800.4609375,23405
804.8359375,23387
811.1328125,23404
818.421875,23254
822.8125,23397
829.0625,23411
832.796875,23414
835.359375,23414
837.7578125,23415
841.2578125,23418
843.4921875,23428
849.9296875,23390
856.03125,23421
861.953125,23384
866.1796875,23426
870.109375,23424
873.0859375,23376
879.4453125,23410
883.8203125,23403
886.59375,23415
888.953125,23380
892.390625,23422
894.421875,23354
900.53125,23444
905.0078125,23438
907.4296875,23462
908.84375,23447
910.125,23439
913.3828125,23402
921.75,23432
928.328125,23417
933.84375,23428
936.03125,23421
939.5859375,23415
943.4609375,23398
952.0625,23430
959.1796875,23266
963.6953125,23421
976.5234375,23422
982.5625,23411
988.3203125,23421
991.390625,23428
995.25,23394
999.390625,23390
1003.2421875,23406
1006.28125,23398
1008.828125,23421
1010.7890625,23425
1012.5546875,23424
1015.6171875,23407
1019.6484375,23358
1025.484375,23406
1028.609375,23382
1032.859375,23411
1035.0078125,23416
1037.4921875,23410
1039.375,23408
1041.796875,23402
1045.28125,23398
1046.734375,23407
1048.1796875,23405
1050.5859375,23389
1053.5,23396
1062.03125,23465
1064.9296875,23401
1066.3125,23430
1068.796875,23417
1073.5,23370
1078.4375,23402
1080.203125,23429
1083.9296875,23381
1090.765625,23442
1094.75,23357
1098.9453125,23426
1103.7734375,23243
1110.6640625,23215
1113.234375,23335
1117.25,23227
1122.9609375,23293
1124.734375,23276
1126.9765625,23298
1129.40625,23316
1131.234375,23370
1134.0625,23358
1136.125,23324
1141.734375,23384
1145.859375,23365
1151.4140625,23179
1158.1640625,23357
1162.453125,23313
1168.46875,23362
1174.078125,23407
1176.703125,23394
1187.9296875,23397
1191.5625,23367
1193.7890625,23353
1199.4375,23385
1201.828125,23402
1204.1484375,23383
1210.078125,23376
1211.671875,23375
1218.7109375,23346
1223.59375,23364
1227.09375,23379
1229.421875,23365
1231.6875,23355
1237.140625,23378
1242.4609375,23378
1246.640625,23412
1252.3203125,23359
1260.453125,23372
1262.8984375,23362
1273.1484375,23398
1279.234375,23380
1281.8828125,23421
1289.328125,23399
1295.0234375,23380
1300.3671875,23376
1303.3515625,23405
1308.421875,23401
1317.3359375,23382
1323.8828125,23382
1330.0,23412
1337.03125,23353
1344.40625,23334
1347.71875,23315
1350.5,23292
1352.7421875,23244
1355.8828125,23248
1367.03125,23411
1371.6328125,23381
1375.515625,23394
1378.53125,23397
1382.328125,23381
1386.1796875,23397
1388.1171875,23394
1390.03125,23387
1391.96875,23389
1394.0078125,23378
1396.0859375,23353
1398.890625,23368
1402.8359375,23366
1407.2890625,23377
1410.203125,23207
1413.578125,23362
1415.5,23357
1418.3515625,23367
1420.28125,23372
1422.6953125,23368
1424.6328125,23364
1426.5546875,23358
1428.484375,23365
1430.828125,23317
1433.8515625,23348
1436.5703125,23329
1438.9453125,23320
1441.359375,23335
1444.265625,23327
1447.1640625,23297
1450.6015625,23321
1452.484375,23330
1454.4140625,23330
1456.6875,23312
1460.984375,23330
1463.3515625,23319
1465.2890625,23324
1467.2265625,23331
1469.1796875,23332
1471.0859375,23320
1474.859375,23325
1477.21875,23331
1478.765625,23334
1483.4296875,23344
1485.4765625,23355
1487.3125,23359
1489.125,23353
1490.53125,23370
1492.1796875,23362
1496.1328125,23386
1497.5078125,23359
1499.3359375,23373
1500.8828125,23380
1504.0625,23384
1506.0078125,23386
1508.0703125,23385
1510.34375,23376
1514.40625,23407
1517.8359375,23263
1520.7578125,23408
1523.4453125,23411
1526.390625,23415
1528.984375,23417
1531.7734375,23416
1536.640625,23390
1538.265625,23347
1540.15625,23358
1542.4609375,23358
1544.953125,23326
1547.203125,23348
1549.546875,23337
1553.7578125,23319
1556.9140625,23321
1558.96875,23320
1560.921875,23338
1563.5078125,23320
1566.4453125,23346
1568.4765625,23368
1572.109375,23190
1575.0859375,23356
